[DateTime], [Close]
2012/1/2,80.18
2012/1/3,79.61
2012/1/4,80.13
2012/1/5,80.94
2012/1/6,81.25
2012/1/9,81.05
2012/1/10,80.8
2012/1/11,81.35
2012/1/12,80.77
2012/1/13,81.51
2012/1/16,81.51
2012/1/17,81.18
2012/1/18,80.61
2012/1/19,80.22
2012/1/20,80.22
2012/1/23,79.78
2012/1/24,79.87
2012/1/25,79.58
2012/1/26,79.39
2012/1/27,78.9
2012/1/30,79.17
2012/1/31,79.29
2012/2/1,78.92
2012/2/2,78.99
2012/2/3,78.92
2012/2/6,79.07
2012/2/7,78.58
2012/2/8,78.64
2012/2/9,78.57
2012/2/10,79.11
2012/2/13,78.95
2012/2/14,79.58
2012/2/15,79.67
2012/2/16,79.35
2012/2/17,79.33
2012/2/20,79.33
2012/2/21,79.04
2012/2/22,79.21
2012/2/23,78.82
2012/2/24,78.35
2012/2/27,78.57
2012/2/28,78.27
2012/2/29,78.74
2012/3/1,78.79
2012/3/2,79.4
2012/3/5,79.3
2012/3/6,79.87
2012/3/7,79.71
2012/3/8,79.14
2012/3/9,80.04
2012/3/12,79.89
2012/3/13,80.19
2012/3/14,80.56
2012/3/15,80.15
2012/3/16,79.79
2012/3/19,79.79
2012/3/20,79.59
2012/3/21,79.66
2012/3/22,79.74
2012/3/23,79.34
2012/3/26,78.98
2012/3/27,79.05
2012/3/28,79.13
2012/3/29,79.19
2012/3/30,79
2012/4/2,78.82
2012/4/3,79.48
2012/4/4,79.78
2012/4/5,80.08
2012/4/6,79.89
2012/4/9,79.73
2012/4/10,79.89
2012/4/11,79.79
2012/4/12,79.28
2012/4/13,79.89
2012/4/16,79.55
2012/4/17,79.48
2012/4/18,79.54
2012/4/19,79.56
2012/4/20,79.19
2012/4/23,79.42
2012/4/24,79.22
2012/4/25,79.01
2012/4/26,78.92
2012/4/27,78.71
2012/4/30,78.78
2012/5/1,78.86
2012/5/2,79.13
2012/5/3,79.22
2012/5/4,79.5
2012/5/7,79.6
2012/5/8,79.74
2012/5/9,80.08
2012/5/10,80.11
2012/5/11,80.26
2012/5/14,80.61
2012/5/15,81.22
2012/5/16,81.37
2012/5/17,81.38
2012/5/18,81.29
2012/5/21,81.08
2012/5/22,81.49
2012/5/23,82.09
2012/5/24,82.35
2012/5/25,82.4
2012/5/28,82.4
2012/5/29,82.48
2012/5/30,83.02
2012/5/31,83.04
2012/6/1,82.89
2012/6/4,82.56
2012/6/5,82.82
2012/6/6,82.32
2012/6/7,82.05
2012/6/8,82.51
2012/6/11,82.51
2012/6/12,82.42
2012/6/13,82.06
2012/6/14,81.99
2012/6/15,81.63
2012/6/18,81.95
