[DateTime], [Close]
2012/1/2,98.83
2012/1/3,102.96
2012/1/4,103.22
2012/1/5,101.81
2012/1/6,101.56
2012/1/9,101.31
2012/1/10,102.24
2012/1/11,100.89
2012/1/12,99.03
2012/1/13,98.69
2012/1/16,99.68
2012/1/17,100.7
2012/1/18,100.61
2012/1/19,100.32
2012/1/20,98.15
2012/1/23,99.47
2012/1/24,98.84
2012/1/25,99.23
2012/1/26,99.76
2012/1/27,99.47
2012/1/30,98.75
2012/1/31,98.46
2012/2/1,97.63
2012/2/2,96.36
2012/2/3,97.8
2012/2/6,96.89
2012/2/7,98.55
2012/2/8,98.87
2012/2/9,99.88
2012/2/10,98.68
2012/2/13,100.39
2012/2/14,100.82
2012/2/15,101.82
2012/2/16,102.33
2012/2/17,103.27
2012/2/20,103.27
2012/2/21,105.88
2012/2/22,105.99
2012/2/23,107.44
2012/2/24,109.39
2012/2/27,108.49
2012/2/28,106.59
2012/2/29,107.08
2012/3/1,108.76
2012/3/2,106.68
2012/3/5,106.7
2012/3/6,104.71
2012/3/7,106.16
2012/3/8,106.65
2012/3/9,107.4
2012/3/12,106.34
2012/3/13,106.7
2012/3/14,105.49
2012/3/15,105.19
2012/3/16,107.03
2012/3/19,108.09
2012/3/20,105.68
2012/3/21,106.87
2012/3/22,104.98
2012/3/23,106.43
2012/3/26,107.07
2012/3/27,107.32
2012/3/28,105.4
2012/3/29,102.79
2012/3/30,103.03
2012/4/2,105.25
2012/4/3,104.02
2012/4/4,101.53
2012/4/5,103.29
2012/4/6,103.29
2012/4/9,102.45
2012/4/10,101.12
2012/4/11,102.66
2012/4/12,103.69
2012/4/13,102.84
2012/4/16,102.92
2012/4/17,104.23
2012/4/18,102.65
2012/4/19,102.38
2012/4/20,103.58
2012/4/23,102.68
2012/4/24,103.1
2012/4/25,103.72
2012/4/26,104.56
2012/4/27,104.86
2012/4/30,104.89
2012/5/1,106.17
2012/5/2,105.25
2012/5/3,102.56
2012/5/4,98.49
2012/5/7,97.86
2012/5/8,97.13
2012/5/9,96.8
2012/5/10,97.1
2012/5/11,96.03
2012/5/14,94.75
2012/5/15,93.97
2012/5/16,92.78
2012/5/17,92.53
2012/5/18,91.51
2012/5/21,92.57
2012/5/22,91.44
2012/5/23,89.4
2012/5/24,90.35
2012/5/25,90.63
2012/5/28,90.63
2012/5/29,90.75
2012/5/30,87.79
2012/5/31,86.52
2012/6/1,83.17
2012/6/4,83.95
2012/6/5,84.31
2012/6/6,85.05
2012/6/7,84.78
2012/6/8,84.1
2012/6/11,82.58
2012/6/12,83.35
2012/6/13,82.56
2012/6/14,83.91
2012/6/15,84.03
2012/6/18,83.26
2012/6/19,83.99
2012/6/20,81.06
2012/6/21,77.91
2012/6/22,79.33
2012/6/25,78.75
2012/6/26,79.34
2012/6/27,80.27
2012/6/28,77.72
2012/6/29,85.04
2012/7/2,83.72
2012/7/3,87.74
2012/7/4,87.74
2012/7/5,87.11
2012/7/6,84.37
2012/7/9,85.93
2012/7/10,83.92
2012/7/11,85.88
2012/7/12,86.02
2012/7/13,87.15
2012/7/16,88.41
2012/7/17,89.07
2012/7/18,89.88
2012/7/19,92.78
2012/7/20,91.56
2012/7/23,87.76
2012/7/24,88.27
2012/7/25,88.79
2012/7/26,89.4
2012/7/27,90.13
2012/7/30,89.8
2012/7/31,88.08
2012/8/1,88.99
2012/8/2,87.22
2012/8/3,91.4
2012/8/6,92.3
2012/8/7,93.68
2012/8/8,93.39
2012/8/9,93.39
2012/8/10,92.94
2012/8/13,92.76
2012/8/14,93.4
2012/8/15,94.35
2012/8/16,95.66
2012/8/17,96
2012/8/20,96.03
2012/8/21,96.55
2012/8/22,96.55
2012/8/23,95.87
2012/8/24,95.77
2012/8/27,95.54
2012/8/28,96.3
2012/8/29,95.5
2012/8/30,94.61
2012/8/31,96.47
2012/9/3,97.04
2012/9/4,95.34
2012/9/5,95.37
2012/9/6,95.58
2012/9/7,96.41
2012/9/10,96.52
2012/9/11,97.03
2012/9/12,97.02
2012/9/13,98.3
2012/9/14,98.94
2012/9/17,96.51
2012/9/18,95.27
2012/9/19,91.97
2012/9/20,92.14
2012/9/21,92.63
2012/9/24,91.67
2012/9/25,91.06
2012/9/26,89.92
2012/9/27,91.89
2012/9/28,92.18
2012/10/1,92.44
2012/10/2,91.88
2012/10/3,88.19
2012/10/4,91.69
2012/10/5,89.87
2012/10/8,89.43
2012/10/9,92.42
2012/10/10,91.24
2012/10/11,92.19
2012/10/12,91.83
2012/10/15,91.84
2012/10/16,92.07
2012/10/17,91.97
2012/10/18,92
2012/10/19,90
2012/10/22,88.3
2012/10/23,86.65
2012/10/24,85.39
2012/10/25,85.59
2012/10/26,85.84
2012/10/29,85.52
2012/10/30,85.65
2012/10/31,86.23
2012/11/1,87.05
2012/11/2,84.9
2012/11/5,85.64
2012/11/6,88.62
2012/11/7,84.5
